! Author: Greg Thompson  NCAR/RAP,,,,,,,,,,,,,,
! Updated: NCEP/AWC,,,,,,,,,,,,,,
! Date:  2 MAR 2023,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"! This file is organized by state alphabetically, then by Canadian",,,,,,,,,,,,,,
! province and then all other stations.  The file was compiled from lists,,,,,,,,,,,,,,
! of the following:,,,,,,,,,,,,,,
!      METAR sites,,,,,,,,,,,,,,
!      NEXRADs,,,,,,,,,,,,,,
!      rawinsonde sites,,,,,,,,,,,,,,
!      wind profilers,,,,,,,,,,,,,,
"!      WFOs, RFCs, NCEP-Centers",,,,,,,,,,,,,,
!      AIRMET/SIGMET station list (VORs?),,,,,,,,,,,,,,
!      ARTCCs (Air Route Traffic Control Centers - FAA),,,,,,,,,,,,,,
!      old SAO sites for archive data access  (flagged in a special manner),,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
!   Country abbreviations from ISO 3166,,,,,,,,,,,,,,
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt,,,,,,,,,,,,,,
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
!   CD = 2 letter state (province) abbreviation,,,,,,,,,,,,,,
!   STATION = 16 character station long name,,,,,,,,,,,,,,
!   ICAO = 4-character international id,,,,,,,,,,,,,,
!   IATA = 3-character (FAA) id,,,,,,,,,,,,,,
!   SYNOP = 5-digit international synoptic number,,,,,,,,,,,,,,
!   LAT = Latitude (degrees minutes),,,,,,,,,,,,,,
!   LON = Longitude (degree minutes),,,,,,,,,,,,,,
!   ELEV = Station elevation (meters),,,,,,,,,,,,,,
!   M = METAR reporting station.   Also Z=obsolete? site,,,,,,,,,,,,,,
!   N = NEXRAD (WSR-88D) Radar site,,,,,,,,,,,,,,
"!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)",,,,,,,,,,,,,,
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site,,,,,,,,,,,,,,
"!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)",,,,,,,,,,,,,,
!   C = Office type F=WFO/R=RFC/C=NCEP Center,,,,,,,,,,,,,,
!   Digit that follows is a priority for plotting (0=highest),,,,,,,,,,,,,,
!   Country code (2-char) is last column,,,,,,,,,,,,,,
!        1         2         3         4         5         6         7         8,,,,,,,,,,,,,,
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CD,STATION,ICAO,IATA,SYNOP,LAT,LONG,ELEV,M,N,V,U,A,C,country
AK,HOLY CROSS,PAHC,HCR,,62 11N,159 47W,21,X,,,,W,7,US
AK,HOMER,PAHO,HOM,70341,59 38N,151 29W,6,X,,T,,A,6,US
AK,HOONAH,PAOH,HNH,,58 06N,135 27W,0,X,,,,,7,US
AK,HOOPER BAY,PAHP,HPB,,61 31N,166 09W,8,X,,,,,7,US
AK,HUSLIA,PAHL,HSL,,65 42N,156 21W,49,X,,,,,7,US
AK,HUSLIA,PAHS,,,65 42N,156 23W,55,X,,,,,7,US
AK,HYDABURG,PAHY,HYG,,55 12N,132 50W,0,X,,,,,7,US
AK,IGIUGIG,PAIG,IGG,,59 19N,155 54W,24,X,,,,W,7,US
AK,ILIAMNA,PAIL,ILI,70340,59 45N,154 55W,44,X,,T,,A,6,US
AK,INDIAN MOUNTAIN,PAIM,UTO,70173,66 00N,153 42W,309,X,,T,,,6,US
AK,JUNEAU,PAJN,JNU,70381,58 21N,134 33W,6,X,,T,,A,0,US
AK,JUNEAU/WFO,PAJK,AJK,,58 22N,134 34W,7,,,,,,F 8,US
AK,KAKE,PAFE,,,56 58N,133 55W,1,X,,,,,7,US
AK,KALSKAG,PALG,KLG,,61 32N,160 20W,13,X,,,,W,7,US
AK,KALTAG,PAKV,KAL,,64 20N,158 43W,53,X,,,,A,7,US
AK,KENAI,PAEN,ENA,70259,60 34N,151 15W,30,X,,T,,A,6,US
AK,KETCHIKAN,PAKT,KTN,70395,55 21N,131 43W,27,X,,T,,A,6,US
AK,KIANA,PAIK,IAN,,66 59N,160 26W,49,X,,,,,8,US
AK,KING COVE,PAVC,KVC,,55 07N,162 16W,48,X,,,,,8,US
AK,KING SALMON/88D,PAKC,AKC,,58 41N,156 38W,19,,X,,,,8,US
AK,KING SALMON,PAKN,AKN,70326,58 41N,156 39W,20,X,,T,X,A,5,US
AK,KIPNUK,PAKI,KPN,,59 56N,164 02W,4,X,,,,,8,US
AK,KIVALINA,PAVL,KVL,,67 44N,164 33W,6,X,,,,A,7,US
AK,KLAWOCK,PAKW,KLW,,55 35N,133 04W,7,X,,T,,A,7,US
AK,KODIAK,PADQ,ADQ,70350,57 45N,152 30W,5,X,,T,X,A,5,US
AK,KOLIGANEK,PAJZ,KGK,,59 44N,157 16W,80,X,,,,,8,US
AK,KOTZEBUE,PAOT,OTZ,70133,66 53N,162 36W,3,X,,T,X,A,5,US
AK,KOYUK,PAKK,KKA,,64 56N,161 09W,56,X,,,,,7,US
AK,KUPARUK,PAKU,UUK,,70 19N,149 36W,23,X,,,,A,7,US
AK,KWETHLUK,PFKW,KWT,,60 48N,161 26W,4,X,,,,,7,US
AK,MANLEY HOT SPRIN,PAML,MLY,,65 00N,150 39W,78,X,,,,,7,US
AK,MANOKOTAK,PAMB,KMO,,58 59N,159 03W,28,X,,,,,7,US
AK,MARSHALL,PADM,MLL,,61 52N,162 02W,17,X,,,,,8,US
AK,MCCARTHY,PAMX,MXY,,61 26N,142 53W,452,X,,,,,7,US
AK,MCGRATH,PAMC,MCG,70231,62 58N,155 37W,101,X,,T,X,A,5,US
AK,MCKINLEY PARK,PAIN,MCL,,63 44N,148 55W,525,X,,,,,7,US
AK,MEKORYUK,PAMY,MYU,,60 22N,166 16W,14,X,,,,,7,US
AK,METLAKATLA,PAMM,MTM,,55 08N,131 35W,0,X,,,,,7,US
AK,MIDDLETON IS 88D,PAIH,AIH,,59 28N,146 18W,20,,X,,,,8,US
AK,MIDDLETON ISLAND,PAMD,MDO,70343,59 26N,146 18W,20,X,,,,,7,US
AK,MINCHUMINA,PAMH,LMA,70246,63 54N,152 17W,200,X,,,,,7,US
AK,MOUNTAIN VILLAGE,PAMO,MOU,,62 06N,163 41W,93,X,,,,W,7,US
AK,NABESNA,PABN,,,62 24N,143 00W,880,X,,,,,7,US
AK,NAPAKIAK,PANA,WNA,,60 41N,161 59W,7,X,,,,,7,US
AK,NELSON LAGOON,PAOU,NLG,,56 00N,161 10W,3,X,,,,,8,US
AK,NENANA,PANN,ENN,70260,64 33N,149 05W,110,X,,,,A,7,US
AK,NEW STUYAHOK,PANW,KNW,,59 27N,157 19W,100,X,,,,,8,US
AK,NIKOLAI,PAFS,NIB,,63 01N,154 21W,131,X,,,,,7,US
